group,window_index,reconstruction_error,peak_temporal_error,topk_temporal_error,anomaly_score,is_crash,is_anomaly_class,predicted_anomaly,ax_reconstruction_error,ay_reconstruction_error,az_reconstruction_error,gx_reconstruction_error,gy_reconstruction_error,gz_reconstruction_error
aggressive,3,15.9625845,16.15013,16.084618,16.0175,0,1,1,0.18728775,4.8339143,89.74176,0.0024112687,0.7966706,0.21339081
aggressive,4,16.046478,18.354563,17.666552,16.77551,0,1,1,0.15438598,4.9835787,90.06491,0.014778329,0.8198322,0.24129345
aggressive,5,15.9236,16.028921,16.02892,15.970994,0,1,0,0.14949322,4.7890224,89.53588,0.0023241555,0.83862704,0.22616208
aggressive,6,16.030657,17.915646,17.365408,16.631294,0,1,1,0.1518958,4.9971523,89.99173,0.0012026428,0.81176955,0.23009484
aggressive,7,15.894953,16.028921,16.02892,15.955237,0,1,0,0.1765388,4.869249,89.29162,0.0014384785,0.81351846,0.21725701
aggressive,8,15.955995,16.028921,16.02892,15.988811,0,1,0,0.18765852,4.834131,89.703224,0.0011140244,0.7968721,0.21287277
aggressive,9,15.956562,16.028921,16.02892,15.989123,0,1,0,0.1696236,4.9987736,89.499725,0.0019999768,0.82146853,0.24770634
aggressive,10,15.904433,16.028921,16.02892,15.960452,0,1,0,0.18155928,4.874573,89.346466,0.005235606,0.7967535,0.22192954
aggressive,11,15.978431,16.539127,16.379105,16.158733,0,1,1,0.14859076,4.9248238,89.76669,0.0012415084,0.8130919,0.21605344
aggressive,12,16.046633,18.349638,17.668503,16.776474,0,1,1,0.1488214,4.889507,90.17536,0.006329125,0.8397893,0.21988495
aggressive,13,16.027168,17.833887,17.300613,16.600218,0,1,1,0.15960687,4.827196,90.138985,0.0073308065,0.81232023,0.21748343
aggressive,14,16.002909,17.186655,16.841625,16.380331,0,1,1,0.18552098,4.938342,89.877266,0.0013098925,0.79883957,0.21607836
aggressive,15,16.01076,17.423132,16.993053,16.452791,0,1,1,0.1477182,4.895226,90.03016,0.0009872037,0.7744188,0.21594131
aggressive,16,15.9250345,16.028921,16.02892,15.971783,0,1,0,0.1660714,4.7873483,89.588715,0.0010854565,0.78145784,0.22544205
aggressive,17,15.879891,16.028921,16.02892,15.946954,0,1,0,0.16195463,4.8838243,89.17856,0.0027485297,0.8197142,0.23246354
aggressive,18,15.9542675,16.028921,16.02892,15.987861,0,1,0,0.14770003,4.9756823,89.47364,0.039107155,0.86656725,0.22281738
aggressive,19,15.941448,16.028921,16.02892,15.98081,0,1,0,0.18370424,4.8218675,89.59998,0.019998288,0.77416825,0.24888645
aggressive,20,44.588177,312.6111,210.6222,119.30348,0,1,1,10.637956,22.996424,111.31407,57.09349,54.342846,11.144259
risky,0,15.989873,16.903288,16.601944,16.265305,0,1,1,0.15856312,4.830626,89.919815,0.0148902405,0.79788834,0.21737437
risky,1,15.970012,16.43359,16.23264,16.088194,0,1,1,0.1562196,4.794845,89.75885,0.01964207,0.79445004,0.2959664
risky,2,16.091793,19.588888,18.526663,17.187485,0,1,1,0.1521129,5.0702305,90.27182,0.0010835108,0.8432421,0.21218388
risky,3,15.940976,16.028921,16.02892,15.980551,0,1,0,0.23255005,4.907968,89.48172,0.0056379973,0.7717947,0.24610266
risky,4,15.923096,16.028921,16.02892,15.970716,0,1,0,0.21321136,4.9867716,89.32372,0.011035185,0.7870674,0.21668632
risky,5,15.849176,16.028921,16.02892,15.93006,0,1,0,0.1630307,4.925079,88.85889,0.0020394223,0.8366266,0.30930763
risky,6,15.952775,16.028921,16.02892,15.9870405,0,1,0,0.23268524,4.880351,89.47068,0.0043646344,0.86576635,0.26270387
risky,7,15.926295,16.028921,16.02892,15.972476,0,1,0,0.16798027,4.7284174,89.6116,0.010788957,0.7948357,0.24405436
risky,8,15.936989,16.028921,16.02892,15.978357,0,1,0,0.2205746,4.9094286,89.258026,0.033051103,0.9386166,0.26215166
risky,9,16.094536,19.804308,18.593851,17.219227,0,1,1,0.18720797,5.0259395,90.23819,0.08644845,0.7756298,0.2537109
risky,10,15.879733,16.028921,16.02892,15.946867,0,1,0,0.1492328,4.9898615,89.118576,0.011997428,0.79141474,0.2172171
risky,11,16.030954,18.075022,17.38733,16.641323,0,1,1,0.22052301,4.8439946,90.086624,0.015160202,0.7735021,0.24583137
risky,12,16.047241,18.425219,17.686415,16.78487,0,1,1,0.1479059,4.795465,90.337234,0.001328968,0.788189,0.21324337
risky,13,15.931415,16.028921,16.02892,15.975292,0,1,0,0.19270168,5.0319023,89.22883,0.008106153,0.8187243,0.3081366
risky,14,15.873501,16.028921,16.02892,15.9434395,0,1,0,0.16398701,5.0147047,88.98489,0.01657561,0.84535336,0.2154065
risky,15,15.9497595,16.028921,16.02892,15.985381,0,1,0,0.2221871,4.977793,89.46158,0.0013290953,0.81041557,0.2251561
risky,16,15.834795,16.028921,16.02892,15.922151,0,1,0,0.14845861,4.9378963,88.8908,0.011574133,0.80743945,0.21250886
risky,17,15.946985,16.028921,16.02892,15.983855,0,1,0,0.21634847,4.9924355,89.403786,0.0035312017,0.81944746,0.2462812
risky,18,16.008455,17.382113,16.951685,16.432909,0,1,1,0.15765592,4.968479,89.90738,0.0017839296,0.80307215,0.21226536
risky,19,15.980467,16.643341,16.423014,16.179613,0,1,1,0.15325701,5.0340395,89.60543,0.0012078534,0.84626883,0.24251045
risky,20,44.361862,312.61252,210.62381,119.17973,0,1,1,10.71997,22.342697,110.43417,57.257587,54.29998,11.116738
synthetic_crash,0,16.02403,22.971636,17.237953,16.570295,1,1,1,0.32978848,4.9238205,89.59172,0.008875695,1.0327824,0.25709546
synthetic_crash,1,16.031958,18.58525,17.374245,16.635986,1,1,1,0.1677332,5.2343407,89.57732,0.029789194,0.8284619,0.35402215
synthetic_crash,2,15.980805,17.567053,16.410524,16.17418,1,1,1,0.21606344,4.889675,89.66529,0.0034063573,0.8772123,0.23311085
synthetic_crash,3,16.43532,37.37916,24.512304,20.069962,1,1,1,1.3700072,4.8755655,89.8164,0.30231655,1.9531375,0.29444528
synthetic_crash,4,15.966279,16.939558,16.194483,16.068972,1,1,1,0.1830005,4.856921,89.665215,0.020734329,0.8357386,0.23602031
synthetic_crash,5,16.400944,37.074978,23.577324,19.630314,1,1,1,0.9384978,5.1385217,89.543915,0.049697105,2.2932563,0.4417157
synthetic_crash,6,16.772789,55.082066,32.427998,23.817633,1,1,1,0.17661728,5.014405,93.039345,1.0572591,0.93798125,0.4110798
synthetic_crash,7,16.748457,50.976406,31.270472,23.283363,1,1,1,0.20116502,5.010112,93.569115,0.5392296,0.93641037,0.23467593
